Date,Close,S_3,S_9,next_day_price
01/01/2020,145.8200073,146.2533366,145.9655558,145.6900024
02/01/2020,145.6900024,146.1400045,146.2755568,146.5399933
03/01/2020,146.5399933,146.0166677,146.5633341,146.3099976
04/01/2020,146.3099976,146.1799978,146.6133338,146.5800018
05/01/2020,146.5800018,146.4766642,146.5233341,146.7400055
06/01/2020,146.7400055,146.543335,146.3866679,146.7899933
07/01/2020,146.7899933,146.7033335,146.3788893,147.1199951
08/01/2020,147.1199951,146.8833313,146.5,147.9799957
09/01/2020,147.9799957,147.2966614,146.618888,148.9900055
10/01/2020,148.9900055,148.0299988,146.97111,147.6600037
11/01/2020,147.6600037,148.2100016,147.1899991,148.4600067
12/01/2020,148.4600067,148.3700053,147.4033339,148.4700012
13/01/2020,148.4700012,148.1966705,147.6433343,149.3300018
14/01/2020,149.3300018,148.7533366,147.9488898,148.3600006
15/01/2020,148.3600006,148.7200012,148.1288893,146.4299927
16/01/2020,146.4299927,148.0399984,148.0888892,146.6100006
17/01/2020,146.6100006,147.1333313,148.0322232,147.3999939
18/01/2020,147.3999939,146.8133291,147.9677785,147.7899933
19/01/2020,147.7899933,147.2666626,147.8344438,148.1699982
20/01/2020,148.1699982,147.7866618,147.8911099,147.6600037
21/01/2020,147.6600037,147.8733317,147.8022207,147.5399933
22/01/2020,147.5399933,147.7899984,147.6988864,148.3800049
23/01/2020,148.3800049,147.8600006,147.5933312,149
24/01/2020,149,148.3066661,147.6644423,150.9100037
25/01/2020,150.9100037,149.4300028,148.1622213,151.7899933
26/01/2020,151.7899933,150.5666656,148.737776,152.4100037
27/01/2020,152.4100037,151.7033335,149.2944438,154.6999969
28/01/2020,154.6999969,152.9666646,150.062222,156.0899963
29/01/2020,156.0899963,154.399999,150.9422217,153.3000031
30/01/2020,153.3000031,154.6966654,151.5688883,153.9700012
31/01/2020,153.9700012,154.4533335,152.2833337,154
01/02/2020,154,153.7566681,152.9077776,148.3800049
02/02/2020,148.3800049,152.1166687,152.8388892,149.1999969
03/02/2020,149.1999969,150.5266673,152.6488885,153.8899994
04/02/2020,153.8899994,150.4900004,152.8822225,154.1600037
05/02/2020,154.1600037,152.4166667,153.0766669,157.4900055
06/02/2020,157.4900055,155.1800028,153.3866679,157.5500031
07/02/2020,157.5500031,156.4000041,153.5488909,157.8099976
08/02/2020,157.8099976,157.6166687,154.0500014,154.4799957
09/02/2020,154.4799957,156.6133321,154.1066674,153.9299927
10/02/2020,153.9299927,155.406662,154.0988888,147.7899933
11/02/2020,147.7899933,152.0666606,154.033332,143.2799988
12/02/2020,143.2799988,148.3333282,153.3755544,141.6399994
13/02/2020,141.6399994,144.2366638,152.0144433,143.5599976
14/02/2020,143.5599976,142.8266652,150.8366648,140.6999969
15/02/2020,140.6999969,141.9666646,148.9711083,138.0399933
16/02/2020,138.0399933,140.7666626,146.8033295,140.1100006
17/02/2020,140.1100006,139.6166636,144.8366631,146.3000031
18/02/2020,146.3000031,141.4833323,143.9277751,153.3999939
19/02/2020,153.3999939,146.6033325,143.8688863,151.3000031
20/02/2020,151.3000031,150.3333333,144.2588874,153.2400055
21/02/2020,153.2400055,152.6466675,145.3655548,152.25
22/02/2020,152.25,152.2633362,146.5444438,152.9199982
23/02/2020,152.9199982,152.8033346,147.5844438,148.0500031
24/02/2020,148.0500031,151.0733337,148.4011112,149.4499969
25/02/2020,149.4499969,150.1399994,149.6688894,151.8999939
26/02/2020,151.8999939,149.799998,150.9788886,152.6499939
27/02/2020,152.6499939,151.3333282,151.6844432,156.8800049
28/02/2020,156.8800049,153.8099976,152.071111,156.0399933
29/02/2020,156.0399933,155.1899974,152.5977766,154.6499939
01/03/2020,154.6499939,155.856664,152.754442,158.6900024
02/03/2020,158.6900024,156.4599965,153.4699978,161.4100037
03/03/2020,161.4100037,158.25,154.4133318,162.6799927
