Date,Open,High,Low,Close,Volume,Market Cap
01/10/2020,10795.25,10933.62,10472.36,10619.45,40023134100,1.97E+11
02/10/2020,10619.82,10657.84,10416.69,10575.98,48661453918,1.96E+11
03/10/2020,10575.1,10598.94,10511.13,10549.33,44660271563,1.95E+11
04/10/2020,10550.44,10686,10534.39,10669.58,71251776995,1.97E+11
05/10/2020,10676.53,10793.51,10634.6,10793.34,47537578009,2.00E+11
06/10/2020,10796.31,10797.58,10528.89,10604.41,42623695307,1.96E+11
07/10/2020,10603.36,10680.51,10562.51,10668.97,37799458436,1.97E+11
08/10/2020,10669.37,10945.74,10562.61,10915.69,63314794397,2.02E+11
09/10/2020,10927.91,11102.67,10846.85,11064.46,22799117613,2.05E+11
10/10/2020,11059.14,11442.21,11056.94,11296.36,22877978588,2.09E+11
11/10/2020,11296.08,11428.81,11288.63,11384.18,19968627060,2.11E+11
12/10/2020,11392.64,11698.47,11240.69,11555.36,26163972642,2.14E+11
13/10/2020,11548.72,11548.98,11321.22,11425.9,24241420251,2.12E+11
14/10/2020,11429.05,11539.98,11307.83,11429.51,24103426719,2.12E+11
15/10/2020,11426.6,11569.91,11303.6,11495.35,24487233058,2.13E+11
16/10/2020,11502.83,11540.06,11223.01,11322.12,25635480772,2.10E+11
17/10/2020,11322.12,11386.26,11285.35,11358.1,19130430174,2.10E+11
18/10/2020,11355.98,11483.36,11347.58,11483.36,18283314340,2.13E+11
19/10/2020,11495.04,11799.09,11408.29,11742.04,23860769928,2.17E+11
20/10/2020,11745.97,11999.92,11681.48,11916.34,30915821592,2.21E+11
21/10/2020,11913.08,13184.57,11900.93,12823.69,43414712626,2.38E+11
22/10/2020,12801.64,13161.59,12717.09,12965.89,34729759598,2.40E+11
23/10/2020,12971.55,13015.96,12752.65,12931.54,28974975003,2.40E+11
24/10/2020,12931.57,13145.07,12885.75,13108.06,24542317940,2.43E+11
25/10/2020,13108.06,13329.18,12910.06,13031.17,24406920575,2.41E+11
26/10/2020,13031.2,13225.3,12822.38,13075.25,29461458313,2.42E+11
27/10/2020,13075.24,13759.67,13060.84,13654.22,33749878156,2.53E+11
28/10/2020,13654.21,13837.7,12932.25,13271.29,35867318895,2.46E+11
29/10/2020,13271.3,13612.05,12980.06,13437.88,56499499598,2.49E+11
30/10/2020,13437.87,13651.52,13136.2,13546.52,30581485201,2.51E+11
31/10/2020,13546.53,14028.21,13457.53,13780.99,30306464719,2.55E+11
01/11/2020,13780.99,13862.03,13628.38,13737.11,24453857900,2.55E+11
02/11/2020,13737.03,13808.32,13243.16,13550.49,30771455468,2.51E+11
03/11/2020,13550.45,13984.98,13325.44,13950.3,29869951617,2.59E+11
04/11/2020,13950.49,14218.77,13580.47,14133.71,35116364962,2.62E+11
05/11/2020,14133.73,15706.4,14102.09,15579.85,40856321439,2.89E+11
06/11/2020,15579.73,15903.44,15226.84,15565.88,39837841971,2.89E+11
07/11/2020,15565.88,15737.1,14423.2,14833.75,35024953706,2.75E+11
08/11/2020,14833.75,15637.32,14744.11,15479.57,26632075029,2.87E+11
09/11/2020,15479.6,15785.14,14865.53,15332.32,34149115566,2.84E+11
10/11/2020,15332.35,15450.33,15124.96,15290.9,25574938143,2.83E+11
11/11/2020,15290.91,15916.26,15290.01,15701.34,29772374934,2.91E+11
12/11/2020,15701.3,16305,15534.77,16276.34,34175758344,3.02E+11
13/11/2020,16276.44,16463.18,15992.15,16317.81,31599492172,3.03E+11
14/11/2020,16317.81,16317.81,15749.19,16068.14,27481710135,2.98E+11
15/11/2020,16068.14,16123.11,15793.53,15955.59,23653867583,2.96E+11
16/11/2020,15955.58,16816.18,15880.71,16716.11,31526766675,3.10E+11
17/11/2020,16685.69,17782.92,16564.54,17645.41,39006849170,3.27E+11
18/11/2020,17645.19,18393.95,17352.91,17804.01,49064800278,3.30E+11
19/11/2020,17803.86,18119.55,17382.55,17817.09,36985055355,3.30E+11
20/11/2020,17817.08,18773.23,17765.8,18621.31,36992873940,3.45E+11
